entity_type,n,pct
Molecule,26376,0.6308086001961113
Unclassified,6359,0.15208188840791143
CAS without structure,4851,0.11601654987683256
Analytical parameter,3440,0.0822710640231507
Mixture,685,0.016382464783679718
Substance group,86,0.0020567766005787675
Regulatory entry,16,3.8265611173558464e-4
