inchikey,restriction_list,candidate_list,authorisation_list,pops_list,eu_positive_list,harmonised_list,restriction_process,svhc_identification,authorisation_process,dossier_evaluation,clh_process,substance_evaluation,pbt_assessment,ed_assessment,reach_registrations,pesticides,sommatie_stoffen
YATIGPZCMOYEGE-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
QBLDFAIABQKINO-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
CNCOEDDPFOAUMB-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
WOXXJEVNDJOOLV-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
KGRVJHAUYBGFFP-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0
BTGXKUUWLIFGRR-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
WJZOJDGNGVXSIK-UHFFFAOYSA-N,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0
HTVITOHKHWFJKO-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
RYHBNJHYFVUHQT-UHFFFAOYSA-N,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0
ZUHZGEOKBKGPSW-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
UQFXPYKWVFOQTH-VGKOASNMSA-L,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
LXBGSDVWAMZHDD-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
OSSNTDFYBPYIEC-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
QFOHBWFCKVYLES-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
UHFFVFAKEGKNAQ-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
LWRBVKNFOYUCNP-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0
ALEROMXYYSQFLX-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
QHPQWRBYOIRBIT-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0
XLLIQLLCWZCATF-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
VHLLJTHDWPAQEM-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
OIQXFRANQVWXJF-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
YNPNZTXNASCQKK-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
GVEPBJHOBDJJJI-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HAXBIWFMXWRORI-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
BBEAQIROQSPTKN-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
GYFAGKUZYNFMBN-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IUMSDRXLFWAGNT-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0
XMSXQFUHVRWGNA-UHFFFAOYSA-N,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
SRPWOOOHEPICQU-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0
HMMGMWAXVFQUOA-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0
WABPQHHGFIMREM-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
VOWAEIGWURALJQ-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0
PIICEJLVQHRZGT-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0
CGCGPGRQKOPVHP-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
XIEPJMXMMWZAAV-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
PLLZRTNVEXYBNA-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
DXBHBZVCASKNBY-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
GKDXQAKPHKQZSC-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
WDECIBYCCFPHNR-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NRZWYNLTFLDQQX-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
FMMWHPNWAFZXNH-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
LQNUZADURLCDLV-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
UWSMKYBKUPAEJQ-UHFFFAOYSA-N,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
FSSPGSAQUIYDCN-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
RTNVDKBRTXEWQE-UHFFFAOYSA-N,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ZMWRRFHBXARRRT-UHFFFAOYSA-N,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0
VXGIVDFKZKMKQO-UHFFFAOYSA-L,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0
QCUOBSQYDGUHHT-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
LVEULQCPJDDSLD-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
LHPPDQUVECZQSW-UHFFFAOYSA-N,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
YKLJGMBLPUQQOI-UHFFFAOYSA-M,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
YKYOUMDCQGMQQO-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
KOWVWXQNQNCRRS-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0
CJOBVZJTOIVNNF-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
XRPLBRIHZGVJIC-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
GUWSLQUAAYEZAF-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
IQFVPQOLBLOTPF-UHFFFAOYSA-L,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PDQAZBWRQCGBEV-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0
KCXZNSGUUQJJTR-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
SNGREZUHAYWORS-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
IPKKHRVROFYTEK-UHFFFAOYSA-N,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
CFEAAQFZALKQPA-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
BDOSMKKIYDKNTQ-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
YOALFLHFSFEMLP-UHFFFAOYSA-N,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
MUTGBJKUEZFXGO-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0
VYKXQOYUCMREIS-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0
OVJOMRKANUZJBM-UHFFFAOYSA-L,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
LCMZLEGVLPHFGA-UHFFFAOYSA-L,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
YRWFRHKQYQHUTP-UHFFFAOYSA-L,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
LVDGGZAZAYHXEY-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LIKGLDATLCWEDN-UHFFFAOYSA-N,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
MCXWUHMDAJQKBI-UHFFFAOYSA-N,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
VDBIDHFJMXOQTB-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
HFGPZNIAWCZYJU-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
UQGXAENNKXXYNF-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AFPIWWDEGJLLCL-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
HBROYSQCJFVOHF-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
RLJMLMKIBZAXJO-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AWTSMFNITNKUQL-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
NKZSPGSOXYXWQA-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
BKMAZJUOHZYBFP-UHFFFAOYSA-L,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
LAZQCXJJXWHRDJ-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
OCWMFVJKFWXKNZ-UHFFFAOYSA-L,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
SIDINRCMMRKXGQ-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XMFOQHDPRMAJNU-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
YEXPOXQUZXUXJW-UHFFFAOYSA-N,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
RYZCLUQMCYZBJQ-UHFFFAOYSA-H,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
