direct_parent_id,direct_parent_lbl,n_inchikeys,n_sources
CHEMONTID:0004525,Chlorophenoxyacetates,7,4
CHEMONTID:0004609,Tris(ketoximino)silanes,7,5
CHEMONTID:0004674,Aryloxyphenoxypropionic acids,7,2
CHEMONTID:0004677,2-phenoxypropionic acid esters,7,4
CHEMONTID:0004735,Methylthio-s-triazines,7,5
CHEMONTID:0000052,Brominated biphenyls,6,1
CHEMONTID:0000070,Oxetanes,6,3
CHEMONTID:0000133,"1,3-dicarbonyl compounds",6,2
CHEMONTID:0000158,N-organohydroxylamines,6,4
CHEMONTID:0000226,Thiazolidines,6,4
CHEMONTID:0000335,N-acylpiperidines,6,5
CHEMONTID:0000386,Acyl cholines,6,2
CHEMONTID:0000403,Organic sulfuric acids and derivatives,6,3
CHEMONTID:0000416,Phenazines and derivatives,6,3
CHEMONTID:0000431,Homogeneous metalloid compounds,6,5
CHEMONTID:0000481,Pyranones and derivatives,6,2
CHEMONTID:0000525,Alkali metal nitrides,6,3
CHEMONTID:0000569,Alkaline earth metal fluorides,6,5
CHEMONTID:0000587,Transition metal bromides,6,3
CHEMONTID:0000638,Alkali metal hydroxides,6,4
CHEMONTID:0000901,Alkali metal silicates,6,6
CHEMONTID:0001113,Alpha-keto acids and derivatives,6,1
CHEMONTID:0001275,Para cresols,6,6
CHEMONTID:0001423,Thia fatty acids,6,4
CHEMONTID:0001443,Triazolopyrimidines,6,3
CHEMONTID:0001572,Thiophosphoric acid esters,6,4
CHEMONTID:0001606,Retinoids,6,2
CHEMONTID:0002013,Indolecarboxylic acids and derivatives,6,1
CHEMONTID:0002099,Cyclohexylphenols,6,2
CHEMONTID:0002210,Sugar alcohols,6,4
CHEMONTID:0002212,Pyridine carboxaldehydes,6,1
CHEMONTID:0002350,Pyrazole carboxylic acids and derivatives,6,4
CHEMONTID:0002354,Enol esters,6,6
CHEMONTID:0002363,Phenylacetamides,6,4
CHEMONTID:0002415,Pyrimidinecarboxylic acids,6,2
CHEMONTID:0002467,"1,2-diols",6,5
CHEMONTID:0002611,Dichlorobenzoic acids,6,3
CHEMONTID:0002749,Strychnos alkaloids,6,2
CHEMONTID:0002762,4-sulfobenzoic acids,6,3
CHEMONTID:0002772,P-chlorophenols,6,3
CHEMONTID:0002907,4-hydroxycoumarins,6,4
CHEMONTID:0002955,Tetrahydroisoquinolines,6,1
CHEMONTID:0003099,3-halobenzoic acids and derivatives,6,3
CHEMONTID:0003213,Aryl-aldehydes,6,5
CHEMONTID:0003282,N-arylamides,6,2
CHEMONTID:0003384,Thiophosphate triesters,6,3
CHEMONTID:0003458,Monoalkyl phosphates,6,3
CHEMONTID:0003467,"Linear 1,3-diarylpropanoids",6,4
CHEMONTID:0003977,Alkyldimethylbenzylammonium chlorides,6,3
CHEMONTID:0003979,Benzyl bromides,6,2
CHEMONTID:0004072,Trialkyltins,6,5
CHEMONTID:0004090,Dialkyltin salts,6,5
CHEMONTID:0004105,"1,3,5-triazines",6,10
CHEMONTID:0004518,"N,N-disubstituted p-toluenesulfonamides",6,2
CHEMONTID:0004579,Diacyl peroxides,6,4
CHEMONTID:0004591,Trialkylaluminiums,6,1
CHEMONTID:0004791,Thiuram disulfides,6,7
CHEMONTID:0000021,Indenes and isoindenes,5,2
CHEMONTID:0000045,Phenylpropenes,5,5
CHEMONTID:0000067,Pyrazines,5,1
CHEMONTID:0000127,Isoindoles,5,2
CHEMONTID:0000136,Hydroquinones,5,6
CHEMONTID:0000205,Pyrazolones,5,1
CHEMONTID:0000245,Purines and purine derivatives,5,2
CHEMONTID:0000302,Benzoxazoles,5,2
CHEMONTID:0000307,Azepanes,5,4
CHEMONTID:0000309,Benzothiazines,5,2
CHEMONTID:0000428,Homogeneous alkaline earth metal compounds,5,4
CHEMONTID:0000492,Tropane alkaloids,5,2
CHEMONTID:0000516,"Dihydroxy bile acids, alcohols and derivatives",5,2
CHEMONTID:0000524,Alkali metal hydrides,5,3
CHEMONTID:0000568,Alkaline earth metal chlorides,5,4
CHEMONTID:0000578,Lanthanide chlorides,5,2
CHEMONTID:0000645,Alkali metal nitrates,5,2
CHEMONTID:0000677,Alkaline earth metal hydroxides,5,4
CHEMONTID:0000684,Alkaline earth metal nitrates,5,4
CHEMONTID:0000699,Alkaline earth metal sulfates,5,3
CHEMONTID:0000921,Alkaline earth metal silicates,5,6
CHEMONTID:0001017,Acyl bromides,5,1
CHEMONTID:0001019,Alkadienes,5,5
CHEMONTID:0001073,Non-metal phosphates,5,4
CHEMONTID:0001168,Ketene acetals,5,6
CHEMONTID:0001190,Thiocarbamic acid esters,5,4
CHEMONTID:0001209,Thioureas,5,7
CHEMONTID:0001234,Isothiocyanates,5,5
CHEMONTID:0001251,Gallic acid and derivatives,5,1
CHEMONTID:0001292,Cyclic alcohols and derivatives,5,4
CHEMONTID:0001308,Organic hydroperoxides,5,5
CHEMONTID:0001313,"1,4-dioxanes",5,9
CHEMONTID:0001357,Acyclic diterpenoids,5,2
CHEMONTID:0001466,Estrane steroids,5,1
CHEMONTID:0001523,Organo-post-transition metal compounds,5,8
CHEMONTID:0001540,Monosaccharides,5,5
CHEMONTID:0001562,Dihydropyridinecarboxylic acids and derivatives,5,2
CHEMONTID:0001804,Organic pyrophosphates,5,4
CHEMONTID:0001850,Thiophenols,5,1
CHEMONTID:0001859,Pyridopyrimidines,5,2
CHEMONTID:0001891,Sulfinylbenzimidazoles,5,1
CHEMONTID:0001973,Benzoxazolones,5,3
CHEMONTID:0001982,Furanones,5,1
CHEMONTID:0002230,Short-chain aldehydes,5,6
CHEMONTID:0002246,Cinchona alkaloids,5,2
CHEMONTID:0002282,Phenylhydantoins,5,4
CHEMONTID:0002285,Carboximidic acids and derivatives,5,6
CHEMONTID:0002336,Phenylpyrrolidines,5,4
CHEMONTID:0002347,M-methoxybenzoic acids and derivatives,5,2
CHEMONTID:0002351,Benzocycloheptapyridines,5,1
CHEMONTID:0002358,Triterpene saponins,5,1
CHEMONTID:0002419,Thiophene carboxylic acids,5,2
CHEMONTID:0002436,Enals,5,3
CHEMONTID:0002504,Cinnamic acids,5,2
CHEMONTID:0002702,"Benzo-1,4-dioxanes",5,2
CHEMONTID:0002775,P-fluorophenols,5,1
CHEMONTID:0002967,Hexacarboxylic acids and derivatives,5,2
CHEMONTID:0003205,Disiloxanes,5,5
CHEMONTID:0003289,Miscellaneous metavanadates,5,5
CHEMONTID:0003475,Retro-dihydrochalcones,5,10
CHEMONTID:0003599,2-naphthalene sulfonic acids and derivatives,5,2
CHEMONTID:0003602,2-bromoanilines,5,2
CHEMONTID:0004067,Triorganotin halide salts,5,3
CHEMONTID:0004089,Dialkyldisulfides,5,7
CHEMONTID:0004211,p-Xylenes,5,6
CHEMONTID:0004212,Xylenols,5,4
CHEMONTID:0004354,Phenyloxadiazoles,5,1
CHEMONTID:0004451,Acrylic acids,5,6
CHEMONTID:0004474,Saturated hydrocarbons,5,2
CHEMONTID:0004513,N-benzoyl-N'-phenylureas,5,5
CHEMONTID:0004613,Nitrobenzaldehydes,5,2
CHEMONTID:0004721,Chloro-s-triazines,5,7
CHEMONTID:0004731,"2-methoxy-1,3,5-triazines",5,3
CHEMONTID:0004802,2-benzylaminopyridines,5,1
CHEMONTID:0004817,2-heteroaryl carboxamides,5,2
CHEMONTID:0000054,Benzylisoquinolines,4,2
CHEMONTID:0000059,Coumaric acids and derivatives,4,1
CHEMONTID:0000079,Imidazolines,4,3
CHEMONTID:0000081,Isoxazoles,4,4
CHEMONTID:0000157,Carbodiimides,4,4
CHEMONTID:0000173,Cephalosporins,4,1
CHEMONTID:0000184,Pheniramines,4,1
CHEMONTID:0000198,Oligosaccharides,4,3
CHEMONTID:0000201,Tocopherols,4,2
CHEMONTID:0000250,Imidazolidines,4,7
CHEMONTID:0000274,Acridines,4,1
CHEMONTID:0000281,Aminobenzoic acids and derivatives,4,2
CHEMONTID:0000292,Barbituric acid derivatives,4,1
CHEMONTID:0000298,Fatty aldehydes,4,2
CHEMONTID:0000314,Triazolopyridines,4,1
CHEMONTID:0000328,Imidazopyridines,4,2
CHEMONTID:0000338,Branched fatty acids,4,3
CHEMONTID:0000348,Peptides,4,1
CHEMONTID:0000367,Dihydropyridines,4,4
CHEMONTID:0000395,Organic nitrates,4,2
CHEMONTID:0000408,Phosphate esters,4,3
CHEMONTID:0000425,Homogeneous alkali metal compounds,4,2
CHEMONTID:0000479,Purine nucleosides,4,1
CHEMONTID:0000504,Lineolic acids and derivatives,4,2
CHEMONTID:0000531,Post-transition metal sulfides,4,2
CHEMONTID:0000547,Alkaline earth metal sulfides,4,4
CHEMONTID:0000552,Other non-metal hydrides,4,3
CHEMONTID:0000555,Other non-metal sulfides,4,8
CHEMONTID:0000565,Alkali metal iodides,4,4
CHEMONTID:0000579,Lanthanide fluorides,4,2
CHEMONTID:0000657,Alkali metal pyrophosphates,4,2
CHEMONTID:0000661,Alkali metal sulfites,4,4
CHEMONTID:0000700,Alkaline earth metal sulfites,4,2
CHEMONTID:0000724,Post-transition metal nitrates,4,4
CHEMONTID:0000735,Post-transition metal phosphates,4,3
CHEMONTID:0000907,Alkali metal tungstates,4,3
CHEMONTID:0001043,Sulfonyl fluorides,4,1
CHEMONTID:0001062,Non-metal nitrates,4,6
CHEMONTID:0001108,P-phthalic acid and derivatives,4,4
CHEMONTID:0001141,Sulfonylanilines,4,1
CHEMONTID:0001144,Fluoroquinolones,4,2
CHEMONTID:0001184,Sulfuric acid diesters,4,5
CHEMONTID:0001192,Carbamic acid halides,4,2
CHEMONTID:0001201,Thiocyanates,4,4
CHEMONTID:0001243,Beta propiolactones,4,3
CHEMONTID:0001269,Sulfinic acids,4,4
CHEMONTID:0001326,Pyridinecarboxamides,4,2
CHEMONTID:0001416,Short-chain keto acids and derivatives,4,1
CHEMONTID:0001460,Vitamin D and derivatives,4,5
CHEMONTID:0001497,Pentoses,4,1
CHEMONTID:0001546,Vitamin E compounds,4,3
CHEMONTID:0001578,Benzofuranones,4,4
CHEMONTID:0001581,Piperidinones,4,2
CHEMONTID:0001658,N-substituted carboxylic acid imides,4,4
CHEMONTID:0001858,Naphthyridine carboxylic acids and derivatives,4,2
CHEMONTID:0001967,Oxolanes,4,1
CHEMONTID:0001975,Pyrrolidinylpyridines,4,5
CHEMONTID:0002131,Monothioacetals,4,2
CHEMONTID:0002214,Glycerophosphates,4,2
CHEMONTID:0002257,Substituted pyrroles,4,1
CHEMONTID:0002307,Morpholine carboxylic acids and derivatives,4,2
CHEMONTID:0002335,Phenylpyrrolines,4,3
CHEMONTID:0002346,P-methoxybenzoic acids and derivatives,4,2
CHEMONTID:0002375,Secondary ketimines,4,2
CHEMONTID:0002391,Glycerol ethers,4,1
CHEMONTID:0002394,Shiff bases,4,3
CHEMONTID:0002410,Piperazine carboxylic acids,4,1
CHEMONTID:0002494,P-benzoquinones,4,3
CHEMONTID:0002607,Bromohydrins,4,2
CHEMONTID:0002608,Chlorohydrins,4,2
CHEMONTID:0002635,"2,5-disubstituted thiazoles",4,4
CHEMONTID:0002695,Diphenylpyrroles,4,1
CHEMONTID:0002754,Cinnamyl alcohols,4,4
CHEMONTID:0002895,P-quinonimines,4,2
CHEMONTID:0002938,Cyclopentanols,4,2
CHEMONTID:0002987,6-aminopurines,4,1
CHEMONTID:0003071,"1,8-naphthalic anhydrides",4,1
CHEMONTID:0003203,Maleimides,4,3
CHEMONTID:0003236,17-hydroxysteroids,4,1
CHEMONTID:0003260,Sulfenyl compounds,4,5
CHEMONTID:0003276,Tosyl compounds,4,2
CHEMONTID:0003411,2-benzopyrans,4,7
CHEMONTID:0003533,Flavonoid-7-O-glycosides,4,1
CHEMONTID:0003674,"Alpha-branched alpha,beta-unsaturated ketones",4,1
CHEMONTID:0003902,Alkyldiarylamines,4,2
CHEMONTID:0004005,"3,4,5-trisubstituted-2-aminothiophenes",4,2
CHEMONTID:0004098,"Imidazo[1,5-a][1,4]benzodiazepines",4,1
CHEMONTID:0004107,"1,2,4-triazines",4,4
CHEMONTID:0004112,Benzoyl peroxides,4,5
CHEMONTID:0004183,Long-chain alkyl amine oxides,4,2
CHEMONTID:0004314,Alanine and derivatives,4,2
CHEMONTID:0004316,Serine and derivatives,4,1
CHEMONTID:0004329,Leucine and derivatives,4,1
CHEMONTID:0004347,Tetraalkyltins,4,2
CHEMONTID:0004413,Anthranilamides,4,2
CHEMONTID:0004442,Metal alkyl halides,4,6
CHEMONTID:0004511,Alkylhydrazines,4,3
CHEMONTID:0004555,L-cysteine-S-conjugates,4,1
CHEMONTID:0004667,Nitroguanidines,4,5
CHEMONTID:0004673,"Benzoylcyclohexane-1,3-diones",4,4
CHEMONTID:0004704,Benzoylpyrazoles,4,4
CHEMONTID:0004771,Pyrimidinyl phosphorothioates,4,4
CHEMONTID:0004808,Alpha-haloketones,4,3
CHEMONTID:0000053,Aminoquinolines and derivatives,3,2
CHEMONTID:0000075,Pyrimidines and pyrimidine derivatives,3,1
CHEMONTID:0000135,Catechols,3,5
CHEMONTID:0000183,Tryptamines and derivatives,3,1
CHEMONTID:0000194,Nitrofurans,3,1
CHEMONTID:0000199,Thioxanthenes,3,1
CHEMONTID:0000209,Phthalazinones,3,2
CHEMONTID:0000225,Nitrothiazoles,3,3
CHEMONTID:0000233,Thiolanes,3,4
CHEMONTID:0000258,Steroids and steroid derivatives,3,1
CHEMONTID:0000262,Fatty acids and conjugates,3,2
CHEMONTID:0000330,Phenylbenzimidazoles,3,3
CHEMONTID:0000398,Nitrogen mustard compounds,3,6
CHEMONTID:0000401,Organic phosphines and derivatives,3,1
CHEMONTID:0000419,Organic phosphonic acids and derivatives,3,3
CHEMONTID:0000480,Pyrimidine nucleosides,3,1
CHEMONTID:0000491,Sulfoxides,3,5
CHEMONTID:0000510,Thioamides,3,2
CHEMONTID:0000512,Jasmonic acids,3,3
CHEMONTID:0000533,Metalloid nitrides,3,2
CHEMONTID:0000562,Alkali metal bromides,3,4
CHEMONTID:0000567,Alkaline earth metal bromides,3,2
CHEMONTID:0000648,Alkali metal perchlorates,3,4
CHEMONTID:0000669,Alkali metal dithionites,3,5
CHEMONTID:0000674,Alkaline earth metal chromates,3,8
CHEMONTID:0000713,Post-transition metal chromates,3,7
CHEMONTID:0000833,Transition metal chromates,3,6
CHEMONTID:0000841,Transition metal hypophosphites,3,2
CHEMONTID:0000996,Transition metal molybdates,3,2
CHEMONTID:0001029,Aryl bromides,3,1
CHEMONTID:0001078,Non-metal sulfites,3,3
CHEMONTID:0001092,Hemiacetals,3,3
CHEMONTID:0001104,"Trihydroxy bile acids, alcohols and derivatives",3,2
CHEMONTID:0001207,Thiosemicarbazides,3,2
CHEMONTID:0001211,Dihydropyranones,3,3
CHEMONTID:0001257,Phenylacetaldehydes,3,2
CHEMONTID:0001271,Thiodiacetic acid derivatives,3,2
CHEMONTID:0001283,Terpene lactones,3,1
CHEMONTID:0001287,Thiamine phosphates,3,1
CHEMONTID:0001309,Organophosphine oxides,3,1
CHEMONTID:0001319,Pyrimidinecarboxylic acids and derivatives,3,1
CHEMONTID:0001322,Pyridinecarboxylic acids and derivatives,3,2
CHEMONTID:0001331,Benzoins,3,3
CHEMONTID:0001392,"Lignans, neolignans and related compounds",3,1
CHEMONTID:0001476,Miscellaneous borates,3,9
CHEMONTID:0001479,Miscellaneous molybdates,3,2
CHEMONTID:0001583,Flavonoid O-glycosides,3,1
CHEMONTID:0001620,Pyrimidine ribonucleoside monophosphates,3,1
CHEMONTID:0001650,Tropones,3,2
CHEMONTID:0001675,Aminocyclitol glycosides,3,2
CHEMONTID:0001714,Hydroxyquinolones,3,1
CHEMONTID:0001753,Benzoylindoles,3,1
CHEMONTID:0001805,Quinuclidones,3,1
CHEMONTID:0001851,Pyrenes,3,4
CHEMONTID:0001871,Naphthalenecarboxylic acids and derivatives,3,2
CHEMONTID:0001873,Phthalides,3,2
CHEMONTID:0001983,Dihydrofurans,3,1
CHEMONTID:0001988,Dibenzoxepines,3,1
CHEMONTID:0002091,Dihydrothiophenes,3,1
CHEMONTID:0002118,Oxazolopyridines,3,4
CHEMONTID:0002132,Dithioacetals,3,7
CHEMONTID:0002180,Pyrimidine 2'-deoxyribonucleosides,3,1
CHEMONTID:0002205,Thioglycosides,3,1
CHEMONTID:0002225,Dioxaborolanes,3,1
CHEMONTID:0002275,Nitronaphthalenes,3,2
CHEMONTID:0002323,Benzothiadiazoles,3,3
CHEMONTID:0002368,Alkali metal phosphonates,3,2
CHEMONTID:0002369,Alkaline earth metal phosphonates,3,1
CHEMONTID:0002459,Nitramines,3,1
CHEMONTID:0002511,Inositol phosphates,3,1
CHEMONTID:0002525,Cyclopropanecarboxylic acids,3,1
CHEMONTID:0002529,Carbonylimidazoles,3,3
CHEMONTID:0002581,Neoflavans,3,1
CHEMONTID:0002770,M-chlorophenols,3,2
CHEMONTID:0002799,Organic trisulfides,3,3
CHEMONTID:0002800,Organic disulfides,3,4
CHEMONTID:0002810,Cinnamic acid amides,3,2
CHEMONTID:0002864,Vinyl bromides,3,6
CHEMONTID:0002913,Beta-hydroxy ketones,3,4
CHEMONTID:0002932,"1,3-isoquinolinediones",3,1
CHEMONTID:0003443,S-alkyl thiosulfates,3,2
CHEMONTID:0003454,6-alkylaminopurines,3,2
CHEMONTID:0003462,Alkanesulfinic acids,3,2
CHEMONTID:0003481,"2,5-disubstituted thiophenes",3,1
CHEMONTID:0003531,Flavonoid-3-O-glycosides,3,2
CHEMONTID:0003539,Galloyl esters,3,5
CHEMONTID:0003568,Androstane steroids,3,1
CHEMONTID:0003752,Cedrane and isocedrane sesquiterpenoids,3,2
CHEMONTID:0003811,"1-alkyl,3-acylglycerols",3,2
CHEMONTID:0003888,Vinylogous halides,3,2
CHEMONTID:0003893,Phosphonic acid diesters,3,2
CHEMONTID:0003944,Inorganic oxides,3,1
CHEMONTID:0003953,8-hydroxyquinolines,3,4
CHEMONTID:0003958,Perfluorooctanoic acid and derivatives,3,1
CHEMONTID:0003983,Toluene diisocyanates,3,4
CHEMONTID:0004036,Organic metal salts,3,5
CHEMONTID:0004084,Cyanogens,3,3
CHEMONTID:0004140,Oxacyclic compounds,3,2
CHEMONTID:0004147,Phenylpyridazines,3,4
CHEMONTID:0004167,Perimidines,3,2
CHEMONTID:0004177,Ethylene bisdithiocarbamates,3,5
CHEMONTID:0004184,Trialkyl amine oxides,3,2
CHEMONTID:0004191,Isocoumarans,3,1
CHEMONTID:0004197,N-alkylindoles,3,1
CHEMONTID:0004203,Phenyl-beta-methoxyacrylates,3,4
CHEMONTID:0004292,"1,2,4-benzothiadiazine-1,1-dioxides",3,4
CHEMONTID:0004313,Cysteine and derivatives,3,3
CHEMONTID:0004315,Glutamine and derivatives,3,1
CHEMONTID:0004330,Isoleucine and derivatives,3,2
CHEMONTID:0004417,"Pyrido[2,3-d]pyrimidines",3,1
CHEMONTID:0004418,"Pyrrolo[2,1-f][1,2,4]triazines",3,1
CHEMONTID:0004443,Transition metal alkyls,3,2
CHEMONTID:0004521,Chlorofluorocarbons,3,1
CHEMONTID:0004611,Metal thiocyanates,3,5
CHEMONTID:0004618,Aryl phosphodiesters,3,3
CHEMONTID:0004715,Hydrazinecarboxylic acid esters,3,1
CHEMONTID:0004718,O-haloacetanilides,3,2
CHEMONTID:0004767,Phenyl phenylphosphonothioates,3,2
CHEMONTID:0004777,Organic N-nitroso compounds,3,1
CHEMONTID:0004787,Methylcarbamates,3,1
CHEMONTID:0000050,Lactones,2,3
CHEMONTID:0000057,Hydroxyquinolines,2,3
CHEMONTID:0000062,2-sulfobenzoic acids,2,2
CHEMONTID:0000074,Pyridazines and derivatives,2,2
CHEMONTID:0000084,Oxazolines,2,1
CHEMONTID:0000102,Azetidines,2,1
CHEMONTID:0000103,Aziridines,2,4
CHEMONTID:0000109,Pteridines and derivatives,2,2
CHEMONTID:0000114,Semicarbazides,2,1
CHEMONTID:0000170,Monobactams,2,1
CHEMONTID:0000174,Penicillins,2,1
CHEMONTID:0000182,Catecholamines and derivatives,2,1
CHEMONTID:0000187,Phenylpropylamines,2,1
CHEMONTID:0000192,Cyclopyrrolones,2,1
CHEMONTID:0000208,Pyridazinones,2,3
CHEMONTID:0000232,Dibenzothiepins,2,1
CHEMONTID:0000260,"Monohydroxy bile acids, alcohols and derivatives",2,2
CHEMONTID:0000265,Carboxylic acids and derivatives,2,1
CHEMONTID:0000270,Organosulfonic acids and derivatives,2,1
CHEMONTID:0000279,Alkaloids and derivatives,2,2
CHEMONTID:0000299,Medium-chain hydroxy acids and derivatives,2,1
CHEMONTID:0000313,Triazolopyrazines,2,1
CHEMONTID:0000341,Hydroxy fatty acids,2,3
CHEMONTID:0000356,Curcuminoids,2,1
CHEMONTID:0000365,Cyclamates,2,1
CHEMONTID:0000376,Hydroxamic acids,2,1
CHEMONTID:0000465,Coumaric acid esters,2,1
CHEMONTID:0000495,Carbocyclic fatty acids,2,1
CHEMONTID:0000500,Chlorinated biphenyls,2,1
CHEMONTID:0000527,Alkali metal sulfides,2,4
CHEMONTID:0000529,Post-transition metal nitrides,2,4
CHEMONTID:0000542,Lanthanide oxides,2,3
CHEMONTID:0000553,Other non-metal nitrides,2,4
CHEMONTID:0000631,Alkali metal bromates,2,3
CHEMONTID:0000632,Alkali metal chlorates,2,5
CHEMONTID:0000642,Alkali metal hypophosphites,2,2
CHEMONTID:0000643,Alkali metal iodates,2,1
CHEMONTID:0000644,Alkali metal nitrites,2,3
CHEMONTID:0000650,Alkali metal permanganates,2,6
CHEMONTID:0000665,Alkali metal peroxodisulfates,2,4
CHEMONTID:0000668,Alkali metal thiosulfates,2,3
CHEMONTID:0000687,Alkaline earth metal perchlorates,2,2
CHEMONTID:0000707,Alkaline earth metal thiosulfates,2,1
CHEMONTID:0000757,Lanthanide hydroxides,2,2
CHEMONTID:0000815,Metalloid phosphates,2,1
CHEMONTID:0000857,Transition metal selenites,2,2
CHEMONTID:0000859,Transition metal sulfites,2,3
CHEMONTID:0000898,Alkali metal molybdates,2,2
CHEMONTID:0000906,Alkali metal tetrahydroxyborates,2,1
CHEMONTID:0000932,Post-transition metal arsenates,2,4
CHEMONTID:0000961,Lanthanide silicates,2,2
CHEMONTID:0000991,Transition metal arsenates,2,2
CHEMONTID:0001005,Transition metal tungstates,2,2
CHEMONTID:0001023,Acyl fluorides,2,1
CHEMONTID:0001031,Aryl fluorides,2,1
CHEMONTID:0001050,Non-metal chlorites,2,3
CHEMONTID:0001065,Non-metal perchlorates,2,5
CHEMONTID:0001072,Non-metal phosphites,2,2
CHEMONTID:0001074,Non-metal pyrophosphates,2,2
CHEMONTID:0001122,Thiobarbituric acid derivatives,2,1
CHEMONTID:0001125,Steroid lactones,2,1
CHEMONTID:0001155,Nitroquinolines and derivatives,2,1
CHEMONTID:0001165,Carboxylic acid hydrazides,2,3
CHEMONTID:0001169,Phosphonic acid esters,2,1
CHEMONTID:0001223,Alpha-diketones,2,1
CHEMONTID:0001250,Phosphocholines,2,1
CHEMONTID:0001303,Organic thiophosphoric acids and derivatives,2,2
CHEMONTID:0001369,Boronic acid esters,2,1
CHEMONTID:0001375,Cyanohydrins,2,1
CHEMONTID:0001408,Phosphatidylcholines,2,1
CHEMONTID:0001437,Benzoxazinones,2,4
CHEMONTID:0001448,Furoic acids,2,3
CHEMONTID:0001469,Cholesterols and derivatives,2,1
CHEMONTID:0001472,Miscellaneous antimonates,2,1
CHEMONTID:0001488,Miscellaneous tungstates,2,2
CHEMONTID:0001524,Organotin compounds,2,1
CHEMONTID:0001559,Cardenolide glycosides and derivatives,2,1
CHEMONTID:0001566,Enynes,2,1
CHEMONTID:0001615,Flavones,2,1
CHEMONTID:0001640,Naphthopyrans,2,2
CHEMONTID:0001641,Naphthopyranones,2,1
CHEMONTID:0001655,Carbonic acid monoesters,2,1
CHEMONTID:0001678,Acyclic allenes,2,2
CHEMONTID:0001694,Aminopyrazines,2,1
CHEMONTID:0001698,Bicyclic amino acids and derivatives,2,1
CHEMONTID:0001724,Pyrethrins,2,1
CHEMONTID:0001807,Spironolactones and derivatives,2,1
CHEMONTID:0001816,Furofurans,2,1
CHEMONTID:0001829,M-terphenyls,2,1
CHEMONTID:0001853,Trioxanes,2,6
CHEMONTID:0001862,Trithianes,2,2
CHEMONTID:0001863,Dithianes,2,2
CHEMONTID:0001879,Delta amino acids and derivatives,2,2
CHEMONTID:0001889,Oxathianes,2,1
CHEMONTID:0001894,Thianes,2,2
CHEMONTID:0001895,Thiopyrans,2,1
CHEMONTID:0001900,Macrolide lactams,2,1
CHEMONTID:0001910,Benzoxepines,2,1
CHEMONTID:0001914,Beta carbolines,2,1
CHEMONTID:0001922,Triazinethiones,2,1
CHEMONTID:0001930,Benzoxadiazoles,2,1
CHEMONTID:0001934,Tetrahydropyridines,2,2
CHEMONTID:0001948,Pyridoxines,2,1
CHEMONTID:0001987,Isosorbides,2,1
CHEMONTID:0002010,Hybrid peptides,2,1
CHEMONTID:0002011,Pyranodioxins,2,1
CHEMONTID:0002023,N-acyl ureas,2,1
CHEMONTID:0002052,Metalloheterocyclic compounds,2,4
CHEMONTID:0002074,Sulfite esters,2,3
CHEMONTID:0002089,Oxoprolines,2,1
CHEMONTID:0002111,Pyranopyridines,2,2
CHEMONTID:0002202,Hydropyrimidines,2,1
CHEMONTID:0002204,C-glycosyl compounds,2,1
CHEMONTID:0002224,Hydropyridines,2,1
CHEMONTID:0002312,Piperidinecarboxamides,2,1
CHEMONTID:0002332,Benzisoxazoles,2,1
CHEMONTID:0002348,Phenylquinolines,2,2
CHEMONTID:0002352,Thioenol ethers,2,1
CHEMONTID:0002366,Non-metal phosphonates,2,2
CHEMONTID:0002409,Oxirane carboxylic acids,2,1
CHEMONTID:0002446,Peroxycarboxylic acids,2,6
CHEMONTID:0002454,Tertiary alkylarylamines,2,3
CHEMONTID:0002464,Hydrazidines,2,3
CHEMONTID:0002503,Hydroxycinnamic acids,2,1
CHEMONTID:0002536,Phenoxides,2,1
CHEMONTID:0002566,Isoquinolines and derivatives,2,1
CHEMONTID:0002582,Neoflavenes,2,1
CHEMONTID:0002631,"2,4,5-trisubstituted imidazoles",2,3
CHEMONTID:0002633,"1,2,4,5-tetrasubstituted imidazoles",2,2
CHEMONTID:0002636,"4,5-disubstituted thiazoles",2,1
CHEMONTID:0002637,"2,4,5-trisubstituted thiazoles",2,2
CHEMONTID:0002640,"4,5-disubstituted oxazoles",2,1
CHEMONTID:0002673,Benzylamines,2,1
CHEMONTID:0002720,Matrine alkaloids,2,1
CHEMONTID:0002769,P-bromophenols,2,5
CHEMONTID:0002774,O-fluorophenols,2,2
CHEMONTID:0002801,Prenylated hydroquinones,2,3
CHEMONTID:0002902,Milbemycins,2,2
CHEMONTID:0002945,"1,3-dioxepanes",2,4
CHEMONTID:0002947,Guanidinobenzoic acids,2,1
CHEMONTID:0002963,Phytoceramides,2,1
CHEMONTID:0002980,N-phenylthioureas,2,3
CHEMONTID:0003030,Polychlorinated biphenyls,2,1
CHEMONTID:0003058,20-oxosteroids,2,1
CHEMONTID:0003078,Aldoximes,2,2
CHEMONTID:0003085,Peroxybenzoic acids and derivatives,2,4
CHEMONTID:0003094,Thiadiazinanes,2,4
CHEMONTID:0003106,O-sulfanylbenzoic acids,2,1
CHEMONTID:0003468,(5'->5')-dinucleotides,2,1
CHEMONTID:0003482,"2,3,5-trisubstituted thiophenes",2,2
CHEMONTID:0003496,Cinnamylphenols,2,4
CHEMONTID:0003574,"4,6-disubstituted 2-deoxystreptamines",2,1
CHEMONTID:0003598,1-naphthalene sulfonic acids and derivatives,2,1
CHEMONTID:0003627,Ynoate esters,2,1
CHEMONTID:0003633,"Propargyl-type 1,3-dipolar organic compounds",2,1
CHEMONTID:0003698,Tyrosols,2,1
