direct_parent_id,direct_parent_lbl,n_inchikeys,n_sources
CHEMONTID:0000037,Styrenes,28,6
CHEMONTID:0001185,Sulfuric acid monoesters,28,6
CHEMONTID:0001611,Carbonic acid diesters,28,5
CHEMONTID:0002414,Pyridinecarboxylic acids,28,4
CHEMONTID:0004297,Aryl-phenylketones,28,4
CHEMONTID:0004714,Phenylcarbamic acid esters,28,4
CHEMONTID:0000038,Sulfanilides,27,5
CHEMONTID:0000355,Cumenes,27,7
CHEMONTID:0000426,Homogeneous transition metal compounds,27,13
CHEMONTID:0001091,Toluenes,27,8
CHEMONTID:0001114,Beta-keto acids and derivatives,27,3
CHEMONTID:0001302,Organic phosphonic acids,27,6
CHEMONTID:0003097,Halobenzoic acids,27,4
CHEMONTID:0003971,Polyhalopyridines,27,4
CHEMONTID:0004323,Glutamic acid and derivatives,27,4
CHEMONTID:0004476,Unsaturated aliphatic hydrocarbons,27,6
CHEMONTID:0000190,Methoxyphenols,26,8
CHEMONTID:0001212,Alkylthiols,26,7
CHEMONTID:0004631,Aryl thioethers,26,4
CHEMONTID:0004670,Aminophenyl ethers,26,8
CHEMONTID:0004749,Phthalimides,26,8
CHEMONTID:0000128,Alkyl aryl ethers,25,4
CHEMONTID:0000141,Nitrophenols,25,2
CHEMONTID:0000320,Dibenzazepines,25,2
CHEMONTID:0001467,Androgens and derivatives,25,3
CHEMONTID:0002948,Aminobenzoic acids,25,2
CHEMONTID:0003956,"3,3'-disubstituted benzidines",25,7
CHEMONTID:0003997,Organic transition metal salts,25,8
CHEMONTID:0000296,Benzodioxoles,24,6
CHEMONTID:0001563,Monocyclic monoterpenoids,24,4
CHEMONTID:0003322,Wax monoesters,24,2
CHEMONTID:0000283,Aminopyridines and derivatives,23,3
CHEMONTID:0000303,Phenylpiperidines,23,3
CHEMONTID:0001645,Depsides and depsidones,23,4
CHEMONTID:0001893,Halopyrimidines,23,3
CHEMONTID:0001984,Phenylpiperazines,23,2
CHEMONTID:0002012,Oxanes,23,4
CHEMONTID:0003864,Diarylthioethers,23,8
CHEMONTID:0003919,Acetate salts,23,7
CHEMONTID:0004325,Cyclohexenones,23,7
CHEMONTID:0000188,Amphetamines and derivatives,22,4
CHEMONTID:0000291,Pyrimidones,22,4
CHEMONTID:0000501,Isocyanates,22,5
CHEMONTID:0001245,Gamma butyrolactones,22,4
CHEMONTID:0002311,N-substituted imidazoles,22,7
CHEMONTID:0002463,Diarylethers,22,7
CHEMONTID:0003001,Alpha-halocarboxylic acid derivatives,22,3
CHEMONTID:0004097,"1,4-benzodiazepines",22,1
CHEMONTID:0000051,Aromatic monoterpenoids,21,6
CHEMONTID:0000417,Phenoxyacetic acid derivatives,21,4
CHEMONTID:0000843,Transition metal nitrates,21,8
CHEMONTID:0001549,Monoterpenoids,21,6
CHEMONTID:0001713,Beta hydroxy acids and derivatives,21,4
CHEMONTID:0001878,Beta amino acids and derivatives,21,3
CHEMONTID:0002861,Vinyl fluorides,21,6
CHEMONTID:0003000,Alpha-halocarboxylic acids,21,6
CHEMONTID:0004204,Phenylbenzamines,21,6
CHEMONTID:0004309,Benzenesulfonate esters,21,5
CHEMONTID:0000442,Metalloid salts,20,5
CHEMONTID:0000546,Alkaline earth metal oxides,20,5
CHEMONTID:0001664,Tertiary carboxylic acid amides,20,12
CHEMONTID:0002500,Alkanes,20,9
CHEMONTID:0002863,Vinyl chlorides,20,12
CHEMONTID:0004146,L-alpha-amino acids,20,4
CHEMONTID:0004482,Dialkyl alkylphosphonates,20,6
CHEMONTID:0004532,2-halopyridines,20,4
CHEMONTID:0004622,Branched unsaturated hydrocarbons,20,6
CHEMONTID:0004748,Phenyl thiophosphates,20,9
CHEMONTID:0000018,Anthracenes,19,5
CHEMONTID:0000310,Phenothiazines,19,4
CHEMONTID:0000402,Organic phosphoric acids and derivatives,19,5
CHEMONTID:0001314,"1,3-dioxanes",19,4
CHEMONTID:0001518,Organoiodides,19,2
CHEMONTID:0001846,Acetanilides,19,3
CHEMONTID:0002411,Piperidinecarboxylic acids,19,2
CHEMONTID:0002647,Cyclohexanols,19,4
CHEMONTID:0002648,Tetrahydrofurans,19,6
CHEMONTID:0004144,Heteroaromatic compounds,19,8
CHEMONTID:0004152,Methylpyridines,19,3
CHEMONTID:0004196,3-alkylindoles,19,3
CHEMONTID:0004830,Dipeptides,19,2
CHEMONTID:0000087,Pyrazoles,18,7
CHEMONTID:0000485,Quinazolines,18,6
CHEMONTID:0000517,Ureas,18,5
CHEMONTID:0000854,Transition metal phosphates,18,7
CHEMONTID:0001189,N-acyl-alpha amino acids and derivatives,18,3
CHEMONTID:0001363,Enones,18,9
CHEMONTID:0002345,O-methoxybenzoic acids and derivatives,18,5
