cluster,sil_embedding,sil_umap,sil_tsne,umap_vs_embedding,tsne_vs_embedding
1,0.01676798589332982,0.4105332432574939,0.24255435060305075,0.39376525736416407,0.22578636470972094
2,0.1405550311647047,0.634849830413464,0.36438312423144226,0.4942947992487593,0.22382809306673757
3,0.1501214531254437,0.852888292742821,0.6297938216498672,0.7027668396173773,0.4796723685244235
4,0.004421327685213013,0.20635880085247874,0.12241602458672046,0.20193747316726574,0.11799469690150745
5,0.013447775737277557,0.10926736277042569,0.10069134993231406,0.09581958703314813,0.0872435741950365
6,0.09672258359297785,0.4669034738338125,0.2355777905199758,0.3701808902408346,0.13885520692699793
NA,0.06985482885610635,0.42365159038067957,0.2607158750321449,0.35379676152457323,0.19086104617603855
