substance_name,best_match,score_1
"1,2-Dihydro-2,2,4-trimethylquinoline, oligomers",4-hydroxy-2-alkylquinolines,0.8400156746248786
"Chromium (VI) compounds, with the exception of barium chromate and of compounds specified elsewhere in this Annex",Inorganic chromium (VI) compounds,0.8397922024109525
"Aromatic hydrocarbons, C6-10, C8-rich",Aromatic hydrocarbons,0.8395470034622572
"Phosphoric acid, mono- and bis(branched and linear pentyl) esters",Phosphinic acid esters,0.8394706991452958
"Alcohols, C12-15, branched and linear, ethoxylated",Ethoxyethynyl alcohols,0.8385197599594094
"perchloric acid, salts (perchlorate)",Organic perchlorate salts,0.8382618454595786
"Fatty acids, C16-18 and C18-unsatd., Bu esters",Fatty acid esters,0.838153494358138
"amide of aliphatic carboxylic acids, C8-C22",Carboxylic acid amides,0.8363064134728939
"Alkanes, C16-47, branched and linear",Branched alkanes,0.836276102397958
Nickel Sulfide (Ni4S),Nitrile sulfides,0.83541622455558
polyhalogenated dibenzo-p-dioxins and dibenzofurans,Dibenzo-p-dioxins,0.835415789418862
"Fatty acids, C16-22",Carbocyclic fatty acids,0.8351535122915624
polyacrylic acid,Acrylic acids,0.8349356804096004
Polychlorinated naphthalenes,Polychlorinated biphenyls,0.8348945355223809
"fatty acid, C12-C18",Carbocyclic fatty acids,0.834705991346055
"Alcohols, C12-13, branched and linear, ethoxylated",Ethoxyethynyl alcohols,0.8343980751487456
Polycyclic-aromatic hydrocarbons (PAH),Aromatic hydrocarbons,0.8340458689562167
"Phosphoric acid, mono- and di-C12-14-alkyl esters",Phosphinic acid esters,0.8340387199633633
"Fatty acids, C16 and C18-20 (even numbered, unsaturated), 2-ethylhexyl esters",Fatty acid esters,0.8336568174569593
"fatty acids, C8-C18 and C18-unsaturated",Unsaturated fatty acids,0.8329853921155284
"fatty acid, C16-C18 and C18-unsaturated",Unsaturated fatty acids,0.8328263260378002
"Alcohols, C12-18, ethoxylated",Ethoxyethynyl alcohols,0.8328226476071151
"Hydrocarbons, C9, aromatics",Aromatic hydrocarbons,0.8322720544219495
"Fatty acids, C12-18",Carbocyclic fatty acids,0.8321497479251732
Polycyclic aromatic hydrocarbons (PAH),Aromatic hydrocarbons,0.8320960201140427
"Alkanes, C12-26-branched and linear",Branched alkanes,0.8319791099971391
"Fatty acids, C16-18",Carbocyclic fatty acids,0.8309425735292117
"alcohols, C12-C16, ethoxylated",Ethoxyethynyl alcohols,0.8308558629370923
"Fatty acids, C8-18 and C18-unsatd., Me esters",Fatty acid esters,0.8307246865867404
"Phosphoric acid, mono- and di-C11-14 (linear and branched) alkyl esters",Phosphinic acid esters,0.8305505965158752
"Sulfuric acid, mono (C12-13-branched and linear alkyl) esters, sodium salts",Sulfuric acid amide esters,0.8303886348926001
Nickel selenide (Ni3Se2),Nitrile selenides,0.8302941317738953
"antimony compounds, with the exception of the tetroxide (Sb2O4), pentoxide (Sb2O5), trisulphide (Sb2S3), pentasulphide (Sb2S5) and those specified elsewhere in this Annex",Inorganic antimony salts,0.8298852873774129
"Fatty acids, C8-10, Me esters",Fatty acid esters,0.829379272717456
"alcohols, C12-C15, ethoxylated",Ethoxyethynyl alcohols,0.8290132902764157
Nickel Sulfide (Ni7S3),Nitrile sulfides,0.8287493643484525
"Fatty acids, C14-18 and C16-18-unsatd., Me esters",Fatty acid esters,0.8286052075150618
polyethylene glycol terephthalate,Polyethylene glycols,0.8285895767581266
"1-isoctyloxycarbonyl ethylated 2,4,6 tris (2,4- hydroxyphenyl) -1,3,5 triazine derivatives","2-methoxy-1,3,5-triazines",0.8285648562969445
"Alcohols, C16-18 and C18-unsatd., ethoxylated",Ethoxyethynyl alcohols,0.828312281931897
"Phosphoric acid, isotridecyl esters",Phosphinic acid esters,0.8279892221609159
"Phosphonic acid, mixed C12-20-alkyl and C14-18-unsatd. alkyl derivs.",Organic phosphonic acids and derivatives,0.8278155971824671
chloroanilines (with exception of those specified elsewhere in this Annex),Chloroanilines,0.8277474930237176
"Fatty acids, C14-22",Carbocyclic fatty acids,0.8275809798650179
"Fatty acids, C16-18, Me esters",Fatty acid esters,0.8274282896922274
perchloric acid and its salts,Organic perchlorate salts,0.8273030830764623
"phthalic acid, esters with triethyleneglycol",Phthalate esters,0.8271536359648366
"Fatty acids, C10-20-neo-",Carbocyclic fatty acids,0.8271184502406566
alkyl(C8-C22)sulfonic acids,Organic sulfonic acids and derivatives,0.8271010480287909
Nickel Sulfide (Ni9S8),Nitrile sulfides,0.8269231389187787
"Chlorates (incl. Mg, Na, K chlorates)",Non-metal chlorates,0.8268763960814303
Nickel Sulfide (Ni5S6),Nitrile sulfides,0.826754493877722
"Fatty acids, C10-18 and C12-22-unsatd., C14-18 and C16-18-unsatd. alkyl esters",Fatty acid esters,0.8265657387009724
Polycyclic aromatic hydrocarbons (PAHs),Aromatic hydrocarbons,0.8261856924775203
Nickel Sulfide (Ni9S5),Nitrile sulfides,0.8261531957711491
"Fatty alcohols, manuf. of, by-products from",Fatty alcohols,0.8259694529044004
"Alcohols, C16-18 (even numbered), ethoxylated, < 2.5 EO",Ethoxyethynyl alcohols,0.8255046867708645
"Fatty acids, C14-22, C16-24-alkyl esters",Fatty acid esters,0.8253376324405497
"alcohols, C12-C14, ethoxylated",Ethoxyethynyl alcohols,0.8250161321023521
"Alcohols, C10-12 (even numbered), ethoxylated (1-2.5 EO)",Ethoxyethynyl alcohols,0.8243256393095685
"alcohols, C16-C18 and C18-unsatd., ethoxylated",Ethoxyethynyl alcohols,0.8240047980480179
ACRYLATE ORTHO ESTER,Acrylic acid esters,0.8235797019164692
"alcohols, C11-C14-iso-, C13-rich, ethoxylated",Ethoxyethynyl alcohols,0.823536831335902
"Fatty acids, C12-14",Carbocyclic fatty acids,0.822887180451351
"Certain chromium(VI) oxides, oxyacids and salts",Inorganic chromium (VI) compounds,0.8226423508485143
"Polysulfides, di-tert-dodecyl",Organic disulfides,0.8225583024370148
"Hydrocarbons, C2-4; Petroleum gas",Hydrocarbons,0.8223748241841159
esters of fatty acids with polyglycerol,Fatty acid esters,0.822083056117229
"Hydrocarbons, C4-5; Petroleum gas",Hydrocarbons,0.8215203198937453
"Alcohols, C11-15-secondary",Secondary alcohols,0.8214843312390061
"acrylic acid, esters with alcohols, monohydric, aliphatic, saturated, C1-C18",Acrylic acid esters,0.8214597550686001
"Fatty acids, C18 unsaturated, C12-14 (even numbered) alkyl esters",Fatty acid esters,0.8213982349838942
"Benzenesulfonic acid, C10-16-alkyl derivs.",Benzenesulfonic acids and derivatives,0.8211923590755251
"Hydrocarbons, C4",Hydrocarbons,0.8210798690771725
"Alcohols, C12-15, ethoxylated",Ethoxyethynyl alcohols,0.8210179586249947
"Alcohols, C12-13, ethoxylated",Ethoxyethynyl alcohols,0.8209457142170795
Alkenes C20+,Alkenes,0.8202026618339032
polypropyleneglycol,Polyethylene glycols,0.8200185294593093
BIS-PIPERAZINE,Piperazinoazepines,0.81995244019518565
"Alcohols, C13-15 (odd numbered, branched and linear), ethoxylated",Ethoxyethynyl alcohols,0.8196728231017592
"Phosphoric acid, C8-10-alkyl esters",Phosphinic acid esters,0.8196233874037641
Organostannic compounds,Organoarsenic compounds,0.8195396406360287
"Hydrocarbons, C3-4; Petroleum gas",Hydrocarbons,0.8195318382412806
"Alcohols, C12-14, ethoxylated",Ethoxyethynyl alcohols,0.8191245195789737
Nickel Sulfide (Ni5S3),Nitrile sulfides,0.818975148312272
vinylsulfonic amide,Vinylogous amides,0.8189030326683335
alkyl(C8-C18)dimethylbenzylammonium chloride,Alkyldimethylbenzylammonium chlorides,0.818833005192608
"Phosphoric acid, mono- and di-C16-18 (even numbered) alkyl esters",Phosphinic acid esters,0.8188192923383841
Nickel Sulfide (Ni5S4),Nitrile sulfides,0.8187440981028107
organic compounds of mercury with the exception of those specified elsewhere in this Annex,Inorganic mercury compounds,0.8187312074452692
"Hydrocarbons, C3",Hydrocarbons,0.8184285925818748
"Phosphoric acid, mono- and di-C8-10-(even numbered)-alkyl esters",Phosphinic acid esters,0.8184133560349213
"C9-C14 linear and/or branched perfluorocarboxylic acids (C9-C14 PFCAs), their salts and C9-C14 PFCAs-related substances
perfluorononan-1-oic acid (PFNA); nonadecafluorodecanoic acid (PFDA); henicosafluoroundecanoic acid (PFUnDA); tricosafluorododecanoic acid (PFDoDA); pentacosafluorotridecanoic acid (PFTrDA); heptacosafluorotetradecanoic acid (PFTDA); including their salts and precursors",Perfluoroalkyl carboxylic acid and derivatives,0.81830193636994
"Polysulfides, bis[3-(triethoxysilyl)propyl]",Organic trisulfides,0.8182352104221045
"Morpholine, 4-C12-14-alkyl derivs.","2,5-disubstituted morpholines",0.8178262289290934
"Polysulfides, di-tert-Bu",Organic disulfides,0.8177832345444774
"acrylic, fumaric, maleic and methacrylic esters",Acrylic acid esters,0.81764269056271
"Phosphoric Acid, linear and branched Octyl Esters",Organic phosphoric acids and derivatives,0.8174949527749874
"(Z)-5-Amino-α-(methoxyimino)-1,2,4-thiadiazole-3-acetic acid","2-amino-5-substituted-1,3,4-thiadiazoles",0.8173661705154678
"acetylacetic acid, salts",Acetate salts,0.8173490289103134
"Fatty acids, C16-18 and C18-unsatd., branched and linear, butyl esters",Fatty acid esters,0.8171493834892011
"Fatty acids, C14-18 and C18-unsatd., branched and linear, 2-ethylhexyl esters",Fatty acid esters,0.8167730752202483
"beryllium compounds with the exception of aluminium beryllium silicates, and with those specified elsewhere in this Annex",Inorganic beryllium salts,0.8167616459949931
"Sulfuric acid, C10-12 (even numbered)-alkyl esters, sodium salts",Sulfuric acid amide esters,0.815812170621549
"Hydrocarbons, C3; Petroleum gas",Hydrocarbons,0.8156635778169024
"Fatty acids, C18-unsatd., dimers, hydrogenated, dimethyl esters",Fatty acid esters,0.8156169413813433
calcium carbide,Carbides,0.8153335633106418
Calcium carbide,Carbides,0.8153335633106418
Alkylated Naphthalene Sulphonic Acid,Naphthalene sulfonic acids and derivatives,0.8153245413181704
"Alcohols, C12-14-secondary",Secondary alcohols,0.8147696702190821
"Fatty acids, C16-18, C16-18-alkyl esters",Fatty acid esters,0.8146537192358695
chlorobutadienes,Chloroanilines,0.8140043544086176
"alcohols, C12-C14, secondary",Secondary alcohols,0.8139216185500917
"Fatty acids C20-22 (even numbered), C18-22 (even numbered) alkyl esters",Fatty acid esters,0.813826661252807
"metal salts of thiocyanic acid, with the exception of those specified elsewhere in this Annex",Metal thiocyanates,0.8138034692132904
"Fatty acids, C18-unsatd, dimers, hydrogenated, diisopropyl esters",Fatty acid esters,0.8135279188798299
"Benzenesulfonic acid, C16-24-alkyl derivs.",Benzenesulfonic acids and derivatives,0.8134620778531526
"1,3,5-Triazine-2,4,6-triamine, deammoniated","1,3,5-triazine-2,4-diamines",0.8134393330533877
chloroethylvinylacetate,Chlorophenoxyacetates,0.8131315032657087
"Hydrocarbons, C4; Petroleum gas",Hydrocarbons,0.8126299568362162
"Fatty acids, C14-18, C14-18-alkyl esters",Fatty acid esters,0.8124405944839118
