substance_name,cluster,manual_label,umap1,umap2,tsne1,tsne2
reaction mass of: triphenylthiophosphate and tertiary butylated phenyl derivatives,3,Petroleum & coal tar fractions,3.164020582867533,7.4213923809824065,-6.3938239203083285,-31.221357588877133
"6-[(C10-C13)-alkyl-(branched, unsaturated)-2,5-dioxopyrrolidin-1-yl]hexanoic acid",6,"Polymers, fatty acids & surfactants",4.857207819653421,-0.5391266646089479,-22.32710751772708,-15.418097531937823
Oligomerisation and alkylation reaction products of 2-phenylpropene and phenol,5,"Trade names, codes & biological materials",2.111837431622416,1.4505689738092498,4.208355963270797,-16.324996186683006
"reaction mass of 2,2,3,3,5,5,6,6-octafluoro-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)morpholine and 2,2,3,3,5,5,6,6-octafluoro-4-(heptafluoropropyl)morpholine",3,Petroleum & coal tar fractions,3.5812645403870644,8.373562752991685,-3.983296142573672,-45.86692393648222
Perfluoroheptanoic acid and its salts,4,Inorganic compounds & metal salts,1.4555678812989297,-1.7776426675023957,-12.69763358504979,4.807963213744168
bis(2-ethylhexyl) tetrabromophthalate covering any of the individual isomers and/or combinations thereof,6,"Polymers, fatty acids & surfactants",3.9355478732117715,0.9413378832635955,-16.189057294132304,-18.278114309058804
"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one covering any of the individual isomers and/or combinations thereof (4-MBC)",6,"Polymers, fatty acids & surfactants",4.354442164135843,-0.46663194915675366,-20.30070409719471,-13.074342988910404
"Phenol, alkylation products (mainly in para position) with C12-rich branched alkyl chains from oligomerisation, covering any individual isomers and/ or combinations thereof (PDDP)",5,"Trade names, codes & biological materials",1.1288856713303628,-0.18042726835631573,4.021118642341079,-9.118896505528722
2-(4-tert-butylbenzyl)propionaldehyde and its individual stereoisomers,6,"Polymers, fatty acids & surfactants",1.413259550763041,1.521352708130844,12.032973855724558,-16.788330752435428
"2,2-bis(bromomethyl)propane-1,3-diol (BMP); 2,2-dimethylpropan-1-ol, tribromo derivative/3-bromo-2,2-bis(bromomethyl)-1-propanol (TBNPA); 2,3-dibromo-1-propanol (2,3-DBPA)",6,"Polymers, fatty acids & surfactants",3.4645190684327187,-0.9407028557958528,-11.527445749479407,-10.799784937379721
Medium-chain chlorinated paraffins (MCCP),4,Inorganic compounds & metal salts,-5.532345727252096,2.8122188446817473,32.02241938701562,-3.685736515004105
"Dioctyltin dilaurate, stannane, dioctyl-, bis(coco acyloxy) derivs., and any other stannane, dioctyl-, bis(fatty acyloxy) derivs. wherein C12 is the predominant carbon number of the fatty acyloxy moiety",5,"Trade names, codes & biological materials",2.098165556622416,-1.125437081068985,-2.8379739630286855,-5.510279294755782
Perfluorobutane sulfonic acid (PFBS) and its salts,4,Inorganic compounds & metal salts,1.5046072451600137,-1.7576480509939119,-12.955477459155642,4.605429909439916
"Tris(4-nonylphenyl, branched and linear) phosphite (TNPP)",6,"Polymers, fatty acids & surfactants",3.7718186823853554,-0.19970177134894573,-8.840488338160501,-14.71896761268947
"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid, its salts and its acyl halides",6,"Polymers, fatty acids & surfactants",4.0485744921692906,-0.5774805547895356,-14.20886981853272,5.561188566294063
"Terphenyl, hydrogenated",5,"Trade names, codes & biological materials",2.9891090838440957,-0.4472333790960237,12.9880270673816,6.625863140861757
"1,6,7,8,9,14,15,16,17,17,18,18-Dodecachloropentacyclo[12.2.1.16,9.02,13.05,10]octadeca-7,15-diene (“Dechlorane Plus”™)",6,"Polymers, fatty acids & surfactants",5.8673892466553745,-0.6101107599439546,-35.877796916647014,-9.980075945982557
"Reaction products of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and 4-heptylphenol, branched and linear (RP-HP)",6,"Polymers, fatty acids & surfactants",1.4884651152619424,1.9540321228799895,-5.749588910242007,-23.57395778686032
Perfluorohexane-1-sulphonic acid and its salts,4,Inorganic compounds & metal salts,1.4554164855012002,-1.772356689185135,-13.147432870434999,4.626036256719471
"4-heptylphenol, branched and linear",6,"Polymers, fatty acids & surfactants",3.2000861613282265,0.4172255394754485,1.5081361625045246,-14.560845489215144
Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts,4,Inorganic compounds & metal salts,1.4393864123353066,-1.8360088469686433,-12.688224792908152,5.246643547720528
Perfluorononan-1-oic-acid and its sodium and ammonium salts,4,Inorganic compounds & metal salts,1.4546187369355263,-1.7800899150075837,-12.59621777470876,4.807578338101987
"1,2-benzenedicarboxylic acid, di-C6-10-alkyl esters or mixed decyl and hexyl and octyl diesters",5,"Trade names, codes & biological materials",0.5169502942093911,0.5839123723802642,11.496351058443157,-12.233339513423168
"5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [1], 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [2]",6,"Polymers, fatty acids & surfactants",4.201571509076029,-0.6445168258848115,-21.132678142254328,-10.305608506921036
"Reaction mass of 2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate and 2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-octyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (reaction mass of DOTE and MOTE)",3,Petroleum & coal tar fractions,4.394745394421488,8.721074998169907,-9.637321103184924,-45.524808008898525
"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear",5,"Trade names, codes & biological materials",0.5399184672364297,0.597590386658676,11.16144507519641,-12.434138475692789
"Sodium perborate, perboric acid, sodium salt",4,Inorganic compounds & metal salts,-0.02741409854802468,-1.8871286513509675,2.785590296436345,9.139900438733275
"4-Nonylphenol, branched and linear, ethoxylated",5,"Trade names, codes & biological materials",3.150353237820536,0.4472684262094573,1.4674181401793402,-14.067070570074836
"4-Nonylphenol, branched and linear",5,"Trade names, codes & biological materials",3.17174367590037,0.4626298544702605,1.5180519903534504,-14.468017343291118
"4,4'-oxydianiline and its salts",4,Inorganic compounds & metal salts,0.7118063418397012,-1.5571745040121003,-2.2142220693146637,3.283734846360137
"4-(1,1,3,3-tetramethylbutyl)phenol, ethoxylated",6,"Polymers, fatty acids & surfactants",3.303795382214457,0.24096143224812305,0.6796732764121202,-14.591988974233626
"Acetic acid, lead salt, basic",4,Inorganic compounds & metal salts,0.17463187856760642,-2.128626644820206,-1.2946757144535526,10.34599168468626
"Silicic acid (H2Si2O5), barium salt (1:1), lead-doped",4,Inorganic compounds & metal salts,0.17061446590510032,-3.188026249617569,-7.47925897044485,15.123970541471637
"Fatty acids, C16-18, lead salts",4,Inorganic compounds & metal salts,-1.1579588504305778,-1.3861150147619172,3.7331327731016164,15.749638081150817
"Pyrochlore, antimony lead yellow",4,Inorganic compounds & metal salts,0.039088710976511454,-4.101806700438492,-15.716439587878718,18.14612772971298
"Formaldehyde, oligomeric reaction products with aniline",5,"Trade names, codes & biological materials",1.449758335781962,1.8119689820108489,10.397857699326545,-19.979932830872674
Zirconia Aluminosilicate Refractory Ceramic Fibres,4,Inorganic compounds & metal salts,-0.6658304000070987,-3.340627730101578,-0.8971786376913131,19.613290209694284
"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkyl esters, C7-rich",5,"Trade names, codes & biological materials",0.4973023383149209,0.5792737005052642,11.25218697743001,-11.812690082657726
Acids generated from chromium trioxide and their oligomers,5,"Trade names, codes & biological materials",0.11476086063471458,-1.6483560206594392,-3.493494507597847,9.62057514746879
"Pitch, coal tar, high-temp.",4,Inorganic compounds & metal salts,-8.112365678118795,-1.6569741370382234,11.940132252445792,43.15959825626417
"Anthracene oil, anthracene paste, anthracene fraction",5,"Trade names, codes & biological materials",-9.028306916522116,-2.181227743834488,22.337959718943377,45.63752132284567
"Anthracene oil, anthracene paste, distn. lights",5,"Trade names, codes & biological materials",-9.043435052203268,-2.1971493365468904,22.427860572104485,45.67855011290893
Anthracene oil,5,"Trade names, codes & biological materials",-8.994292214678854,-2.1439667346181794,22.369507387673835,45.64254136900004
"Anthracene oil, anthracene paste",5,"Trade names, codes & biological materials",-9.030970528887838,-2.188546717375748,22.38612391993032,45.65828425745917
"Anthracene oil, anthracene-low",5,"Trade names, codes & biological materials",-9.038166001605124,-2.193779528349869,22.392623502411737,45.65811890743574
Aluminosilicate Refractory Ceramic Fibres,4,Inorganic compounds & metal salts,-0.7961584033242164,-3.269925654143326,-0.8548698603790302,19.605391379238977
Hexabromocyclododecane (HBCDD),1,Reaction masses,1.206420942974955,-2.872783720702164,-15.965980682317419,8.917111527253152
"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",5,"Trade names, codes & biological materials",-5.5829634221068325,2.933976113587387,32.39405940612675,-3.5233206463868303
"Perfluorohexane sulfonic acid (PFHxS), its salts and PFHxS-related compounds",4,Inorganic compounds & metal salts,1.510894581509501,-1.7432245614232942,-12.954832523422057,4.624242049691929
"perfluorooctanoic acid (PFOA), its salts and PFOA-related substances",4,Inorganic compounds & metal salts,1.4844773261078896,-1.7663881184759065,-12.884002641338627,4.66246255959753
Pentachlorophenol and its salts and esters,5,"Trade names, codes & biological materials",0.5344620196351113,-0.8451825382413789,-3.265694994151333,4.5751042868400695
Polychlorinated naphthalenes,6,"Polymers, fatty acids & surfactants",1.4340713469513955,-0.538185626477234,2.2822307195594997,-0.8149871560276858
Endosulfan and its isomers,5,"Trade names, codes & biological materials",0.6943108288773598,-0.5970823170843049,5.374551960637642,-6.935712499048237
"Alkanes, C10-13, chloro",5,"Trade names, codes & biological materials",-5.6302423031798305,3.0159727928934172,33.11052417193194,-3.3783524542963708
"Perfluorooctane sulfonic acid (PFOS), its salts and PFOS-related compoundsC8F17SO2X (X = OH, Metal salt (O-M+ ), halide, amide, and other related compounds including polymers)",4,Inorganic compounds & metal salts,1.5882177798279824,-1.665452540129654,-12.940195125214718,4.568883346887366
Pentabromodiphenyl ether (group),6,"Polymers, fatty acids & surfactants",3.1894989459046426,0.8048526046571807,-6.364512923065023,-21.614482510497368
Heptabromodiphenyl ether (Group),6,"Polymers, fatty acids & surfactants",3.1785688845643105,0.8135017750558928,-6.365974287591684,-21.61744567183358
Hexabromodiphenyl ether (group),6,"Polymers, fatty acids & surfactants",3.1393344847687783,0.7982007263002471,-6.363039929297215,-21.613215402260735
Polychlorinated Biphenyls (PCB),4,Inorganic compounds & metal salts,2.3257694689759316,-0.20968702456378185,-1.664263739331789,-0.3337671639679519
Polychlorinated dibenzo-p-dioxins and dibenzofurans (PCDD/PCDF),6,"Polymers, fatty acids & surfactants",2.433447882367045,-0.35517430326365673,-2.0470901406922266,-0.6768114114353131
"Hexachlorocyclohexanes, including lindane",5,"Trade names, codes & biological materials",1.453843161297709,-1.986012637824051,-17.075373827462744,7.669940123412583
Polycyclic aromatic hydrocarbons (PAHs),2,Complex substances (UVCB with structure),-6.298246339129538,2.4045535919962004,33.79912280207654,3.85106154168525
albumin,1,Reaction masses,-0.8056684883109031,-6.847611487120621,-10.307508556823985,33.561742928434526
"albumin, coagulated by formaldehyde",5,"Trade names, codes & biological materials",1.2968485800751748,1.6075101492700652,11.383177493123727,-17.012215872490025
"acetylacetic acid, salts",4,Inorganic compounds & metal salts,0.2471809236535134,-1.901226341933243,-0.716947618770253,8.790755740469676
"aluminium calcium hydroxide phosphite, hydrate",4,Inorganic compounds & metal salts,-0.03673680143269875,-2.937410891264908,-5.702642626787181,16.976089037558467
"carbonic acid, salts",4,Inorganic compounds & metal salts,-0.10166449861440041,-2.1484790446462556,-0.8005882211093601,8.544559052987458
cotton fibres,4,Inorganic compounds & metal salts,-1.071721419858068,-3.1870337130727693,0.6226889891443969,19.748497593618172
di-n-octyltin bis(ethyl maleate),6,"Polymers, fatty acids & surfactants",3.291329905224711,-1.3539733292760774,-6.892402851510916,-9.788554105393676
"di-n-octyltin 1,4-butanediol bis(mercaptoacetate)",6,"Polymers, fatty acids & surfactants",3.4385977236756387,-1.4229180218877717,-7.047277255004702,-9.575560471320522
"di-n-octyltin dimaleate, polymers (n = 2-4)",6,"Polymers, fatty acids & surfactants",3.2749615160950722,-1.1569418313207551,-6.598902273860472,-10.612376747509307
ethylhydroxymethylcellulose,5,"Trade names, codes & biological materials",2.717916533184916,-3.4815147521200105,6.351319470835337,8.784696410724605
ethylhydroxypropylcellulose,5,"Trade names, codes & biological materials",2.744511648846537,-3.4131460787954255,6.435940723130572,8.146534837403829
"fats and oils, from animal or vegetable food sources",5,"Trade names, codes & biological materials",-2.281079843806356,-0.21156683585070812,24.73014086722471,4.545236532515451
"fats and oils, hydrogenated, from animal or vegetable food sources",5,"Trade names, codes & biological materials",-2.2304367573729453,-0.2634027155342027,24.78245625026454,4.48440557197822
glass microballs,1,Reaction masses,-0.7540519797972141,-3.2216804625692292,-0.03365794883334042,18.225485655676046
"glycerol monooleate, ester with ascorbic acid",5,"Trade names, codes & biological materials",-0.726066425797899,0.523516535550125,29.296189476165672,-11.639821979738935
"glycerol monooleate, ester with citric acid",5,"Trade names, codes & biological materials",-0.7426509430429635,0.5027657149133757,29.30287622701943,-11.64802334103824
"glycerol monopalmitate, ester with ascorbic acid",5,"Trade names, codes & biological materials",-0.7592335568538604,0.5083110330400542,29.353369125165138,-11.625181115690182
"glycerol monopalmitate, ester with citric acid",5,"Trade names, codes & biological materials",-0.7597646901181636,0.493146776944168,29.369355877417373,-11.622621464705002
"glycerol monostearate, ester with ascorbic acid",5,"Trade names, codes & biological materials",-0.7416628051346836,0.4913980362711028,29.293953119027027,-11.64633602800184
"glycerol monostearate, ester with citric acid",5,"Trade names, codes & biological materials",-0.7131436655095515,0.557378589898117,29.30406259716979,-11.671861405770606
"glycine, salts",4,Inorganic compounds & metal salts,0.4934778658875527,-1.5437685849370881,-0.4952096409780534,4.269086049254664
"lysine, salts",4,Inorganic compounds & metal salts,0.4088676421174111,-1.6542769076528474,-0.538635662535669,4.382699030552644
manganese pyrophosphite,4,Inorganic compounds & metal salts,0.43354944868174217,-3.359537184447281,-11.443007997062535,13.371413484999767
methylhydroxymethylcellulose,5,"Trade names, codes & biological materials",2.743891522122294,-3.435873329848282,6.311345558225356,8.82733913361884
"polyacrylic acid, salts",4,Inorganic compounds & metal salts,0.26131646318522117,-1.5529717805089875,1.2028944102133994,5.90144317591178
"polydimethylsiloxane, γ-hydroxy­ propylated",5,"Trade names, codes & biological materials",2.751563593579203,0.3674812016782836,-4.315529108561972,-20.189204886343006
"polyester of adipic acid with glycerol or pentaerythritol, esters with even numbered, unbranched C12-C22 fatty acids",5,"Trade names, codes & biological materials",-0.9097055049410758,0.8311925528345183,24.67258674920884,-14.587083296812784
polyethyleneglycol diricinoleate,5,"Trade names, codes & biological materials",1.6060500590333047,-0.007112153083316919,10.477184878255834,2.5717636522956577
polyethyleneglycol esters of aliph. monocarb. acids (C6-C22) and their ammonium and sodium sulfates,5,"Trade names, codes & biological materials",-0.02403761463078835,0.22200185039616382,19.087421504378977,-6.7059641413152695
"polyethylene glycol (EO = 1-30, typically 5) ether of butyl 2-cyano 3-(4-hydroxy-3-methoxyphenyl) acrylate",5,"Trade names, codes & biological materials",1.9293265788086953,0.3024837670621947,9.172080871308042,1.5824830922303343
"polyethyleneglycol (EO = 1-30, typically 5) ether of butyl-2-cyano-3-(4-hydroxyphenyl) acrylate",5,"Trade names, codes & biological materials",1.9474478213318887,0.24986645558453358,9.155255300877059,1.5409824936644443
polyoxyalkyl (C2-C4) dimethyl polysiloxane,6,"Polymers, fatty acids & surfactants",2.894348427487284,0.229191481858261,-4.362053360585465,-20.195217739465463
propylhydroxyethylcellulose,5,"Trade names, codes & biological materials",2.733231589032084,-3.4057672621908113,6.297382049560189,8.652766970934294
propylhydroxymethylcellulose,5,"Trade names, codes & biological materials",2.73843388242808,-3.429607928008072,6.319429857340629,8.731575749293967
propylhydroxypropylcellulose,5,"Trade names, codes & biological materials",2.76581220312205,-3.3776376845540925,6.350412441327846,8.082323283035294
"silicates, natural (with the exception of asbestos)",4,Inorganic compounds & metal salts,-0.7956636549702583,-3.2311883570852205,-3.010468729697677,18.83838551354318
"silicates, natural, silanated (with the exception of asbestos)",4,Inorganic compounds & metal salts,-0.7800813058188854,-3.2369850279989167,-3.020968585709215,18.83145835721449
"silicic acid, silylated",4,Inorganic compounds & metal salts,0.2078682629593911,-2.1636295916738435,-3.637790484754375,2.7259536401127176
"silicon dioxide, silanated",4,Inorganic compounds & metal salts,2.679536863995463,0.8861010668573455,-1.4373618259076433,-21.51350153373359
sodium monoalkyl dialkylphenoxybenzenedisulfonate,6,"Polymers, fatty acids & surfactants",4.668681666088968,0.21440976837254322,-22.06885455486691,-20.978508397834126
"taurine, salts",4,Inorganic compounds & metal salts,0.12804399414148948,-1.6892492177190706,-0.5572245921318522,4.822568099196806
tetradecyl-polyethyleneglycol(EO = 3-8) ether of glycolic acid,5,"Trade names, codes & biological materials",1.7304153887757363,0.14783178248978412,9.576581412674145,1.3330622968146861
tricyclodecanedimethanol bis(hexahydrophthalate),6,"Polymers, fatty acids & surfactants",3.7861247508057656,-0.2602719964685365,-7.802300978691636,-13.110593376585284
"waxes, paraffinic, refined, derived from petroleum based or synthetic hydrocarbon feedstocks, low viscosity",2,Complex substances (UVCB with structure),-5.849861577319235,0.10113044062233723,18.025016531855275,26.849825691889286
"waxes, refined, derived from petroleum based or synthetic hydrocarbon feedstocks, high viscosity",2,Complex substances (UVCB with structure),-5.928193524645895,0.18298402407742298,18.025749522450155,26.890065611231563
"white mineral oils, paraffinic, derived from petroleum based hydrocarbon feedstocks",2,Complex substances (UVCB with structure),-7.185192063616842,1.6741171477136687,20.969972074244644,19.694375838870187
petroleum hydrocarbon resins (hydrogenated),2,Complex substances (UVCB with structure),1.3782947508820595,0.5673540232477263,11.690320992633346,9.139499516300953
bentonite,4,Inorganic compounds & metal salts,-1.5921388419142661,-3.2865079047384187,3.4466067802343785,24.736373626491652
divinylbenzene,6,"Polymers, fatty acids & surfactants",3.0671442000397744,-0.7064928414525911,-20.460863088505896,5.072070407980844
"1,2-propyleneglycol monooleate",5,"Trade names, codes & biological materials",1.6301587073334756,-0.03779212406300747,11.244027562200019,2.0658025129423763
kaolin,4,Inorganic compounds & metal salts,-1.407539084719747,-2.0952251555623933,4.881005661525064,22.812477973661355
tannic acids,4,Inorganic compounds & metal salts,0.3157103507050576,-1.934559762686722,-1.5429549679747787,7.384001177882908
soybean oil,5,"Trade names, codes & biological materials",-2.888188317584127,-1.150144160002701,19.478092981174374,12.471464778900003
Japan wax,1,Reaction masses,-5.743315652178854,8.631421027258668e-4,15.450919874102956,26.85608966288255
ceresin,1,Reaction masses,-0.9652954937687812,-6.601948321074478,-11.488356597761182,35.04591848197991
castor oil,5,"Trade names, codes & biological materials",-2.283578828143209,-0.7816953661146089,19.135938351755964,6.961848722506654
montan wax,1,Reaction masses,-5.710210278796286,-0.054846013173691865,15.285390124862335,27.255873522046244
candelilla wax,5,"Trade names, codes & biological materials",-5.737549737261862,0.008625313430793646,15.226541452278804,26.865922250966772
beeswax,1,Reaction masses,-2.8357772381773887,-2.437460005492203,3.324799825306949,30.334876612582327
"soybean oil, epoxidised",5,"Trade names, codes & biological materials",-2.9964682610503135,-1.0284310581388398,20.470195237800837,12.110884393114743
carnauba wax,1,Reaction masses,-5.742587998675436,-0.003236428112022516,15.123095566775332,26.654425226331714
polyphosphoric acids,5,"Trade names, codes & biological materials",0.23288910074320457,-0.14905608466290676,9.2313276772741,-7.350518723067266
