substance,substance_name,priority_score,list_score,bio_score,n_lists,top_list_cat,echa_lists,bio_activity_labels
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b3aec873e96a3b40372e62211529c359,5-methylheptan-3-one,3,3,0,3,Harmonised / CLP,dossier_evaluation|reach_registrations|harmonised_list,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b46ace0bc8dccecced931d006ffa0e3a,tert-butyl acetate,3,3,0,3,Harmonised / CLP,harmonised_list|dossier_evaluation|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b48ce6545849df605c419572687d42fc,O-isopropyl ethylthiocarbamate,3,3,0,3,Harmonised / CLP,reach_registrations|dossier_evaluation|clh_process,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b5cfcd5f25971a2f95b1bd24d1a20972,Pentoxazone,3,2,1,1,Pesticides,pesticides,agrochemical|herbicide|EC 1.3.3.4 (protoporphyrinogen oxidase) inhibitor
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b5e659c55d4996f91afbf0df38a02aa5,Silicon tetrachloride,3,3,0,3,Harmonised / CLP,harmonised_list|dossier_evaluation|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b5e77a379187765ef61c5a76c3ce33da,"sodium 3,6-dichloro-o-anisate",3,2,1,1,Harmonised / CLP,harmonised_list,herbicide|agrochemical
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b65f4aee3cb56efd91b98eb8e0e7923f,(±)-butan-2-ol,3,3,0,3,Harmonised / CLP,harmonised_list|dossier_evaluation|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b6f52885a5024605d84e709bae76270a,"(8S,13S,14S,17S)-17-hydroxy-13-methyl-2,6,7,8,14,15,16,17-octahydro-1H-cyclopenta[a]phenanthren-3-one",3,0,3,1,Other,reach_registrations,endocrine disruptor|plant metabolite
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b7044f547a7e6a630ed8103beb4e296f,Heptan-2-one,3,3,0,3,Harmonised / CLP,dossier_evaluation|harmonised_list|reach_registrations,pheromone|mouse metabolite
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b78e6eab3011aebc3a4e07db810d8e8b,2-aminopropane; isopropylamine,3,3,0,3,Harmonised / CLP,dossier_evaluation|harmonised_list|reach_registrations,
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b7951e39bc42ecba108b1876a87853f9,Temephos,3,2,1,1,Pesticides,pesticides,acaricide|agrochemical|ectoparasiticide|EC 3.1.1.7 (acetylcholinesterase) inhibitor
https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/b7ae5c5e4dffeb4c2ad246e7ba682cd6,Heptane,3,3,0,3,Harmonised / CLP,harmonised_list|dossier_evaluation|reach_registrations,non-polar solvent|plant metabolite
