substance_name,best_match,score
"Fatty acids, coco, 2-ethylhexyl esters",Fatty acid esters,0.8135774041309277
Polychlorinated dibenzo-p-dioxins and dibenzofurans (PCDD/PCDF),Chlorinated dibenzo-p-dioxins,0.8131499215226573
"Polysulfides, di-tert-dodecyl",Organic disulfides,0.812802681899566
"Fatty acids, vegetable-oil, Me esters",Fatty acid esters,0.8122041174150023
Polyphosphoric acids,Organic phosphoric acids,0.8121287284944333
polyphosphoric acids,Organic phosphoric acids,0.8121286816294712
"acrylic acid, esters with alcohols, monohydric, aliphatic, saturated, C1-C18",Acrylic acid esters,0.8118469383433855
Metal oxide sulfide,Metalloid sulfides,0.8117843532279151
"Fatty acids, C16-18, 2-butyloctyl esters",Fatty acid esters,0.8117005419809445
Polycyclic aromatic hydrocarbons (PAHs),Aromatic hydrocarbons,0.8110567904055199
"Perfluorohexane sulfonic acid (PFHxS), its salts and PFHxS-related compounds",Perfluoroalkyl sulfonic acid and derivatives,0.810844882060661
"saturated, unsaturated and hydroxylated fatty acids (C8-C24)",Unsaturated fatty acids,0.8107291053687861
"acrylic acid, acrylic acid, 2-ethylhexyl ester, copolymer",Acrylic acid esters,0.8104049195820426
di-alkyl-benzenesulfonic acid,Benzenesulfonic acids and derivatives,0.8100265897916227
Benzidine and its salts,Benzidines,0.809924558574747
"Alkanes, C4-5",Alkanes,0.8097047823838813
Alkylated Naphthalene,Naphthalenes,0.8083306466806713
perchloric acid and its salts,Organic perchlorate salts,0.8082194816301085
N-phenyl-N’-isohexyl-p-phenylenediamine,P-phenylenediamines,0.8072057228483314
"Fatty acids, C16-18, Me esters",Fatty acid esters,0.8067083931212435
"Fatty acids, C8-10, C8-10 alkyl esters",Fatty acid esters,0.8066807116063439
"Fatty acids, tall-oil, Bu esters",Fatty acid esters,0.8065409188188526
2-[2-(Methoxycarbonyl-phenyl-amino)-phenyl]-acetic acid,2(hydroxyphenyl)acetic acids,0.8060425886332945
"Fatty acids, C8-12, isopentyl esters",Fatty acid esters,0.8059235849139702
"Fatty acids, C16-18 tridecyl esters",Fatty acid esters,0.8058185556214165
"Fatty acids, coco, iso-Bu esters",Fatty acid esters,0.8049751136953214
"methacrylic acid, sulfopropyl ester",Sulfonic acid esters,0.80447250026511
"Chromium (VI) compounds, with the exception of barium chromate and of compounds specified elsewhere in this Annex",Inorganic chromium (VI) compounds,0.8044450009661892
"Hydrocarbons, C13-C14, n-alkanes, <2% aromatics",Aromatic hydrocarbons,0.8043410368819298
"Fatty acids, C14-18, C14-18-alkyl esters",Fatty acid esters,0.8043158798706005
Polycyclic-aromatic hydrocarbons (PAH),Aromatic hydrocarbons,0.8041635323341243
"Fatty acids, C16-18, isotridecyl esters",Fatty acid esters,0.8037497256845181
Cadmium chloride rubidium,Inorganic cadmium salts,0.8035113035224541
"Hydrocarbons, C10-C14, n-alkanes, <2% aromatics",Aromatic hydrocarbons,0.8031010192683586
"1,3,5-triazine-2,4,6-triamine 4-methylbenzenesulfonate (1:1)","1,3,5-triazine-2,4-diamines",0.8029799537288945
PERFLUORBUTANSULFONYLFLUORIDVINYLETHER,Perfluoroalkanesulfonyl fluorides,0.8023342178787344
"2,3-DIMETHYL-5,6,7,8-TETRAHYDRO-IMIDAZOL[1,2A]PYRIDIN-8-ON","Imidazo[1,2-a]pyridines",0.8021698022750038
"Hydrocarbons, C14-C16, n-alkanes, <2% aromatics",Aromatic hydrocarbons,0.8021242044877137
"Hydrocarbons, C11-C14, n-alkanes, <2% aromatics",Aromatic hydrocarbons,0.8019979865928519
"acrylic, fumaric, maleic and methacrylic esters",Acrylic acid esters,0.8016175257800023
polyethyleneglycol,Polyethylene glycols,0.80147840061402
"Fatty acids, C16-18 and C18-unsatd., iso-Bu esters",Fatty acid esters,0.8013841482186294
"Naphthenic acids, lithium salts",Organic lithium salts,0.8005759254170033
