projection,k,trustworthiness,continuity
UMAP,5,0.9520466922759313,0.9702953599189224
UMAP,10,0.948798017351221,0.9624757086747098
UMAP,20,0.942937894509445,0.9525476728758664
UMAP,50,0.9308803774290272,0.9342454054834468
t-SNE,5,0.982565584992216,0.971194418954365
t-SNE,10,0.9724282043176263,0.9611171514780982
t-SNE,20,0.9590632180598108,0.9498980069987586
t-SNE,50,0.9370204010976169,0.9310124122361874
