substance_name,best_match,score_1
"N-N-dimethyl-C12-14-(even numbered)- alkyl-1-amines, reaction products with potassium hydroxide and chloroacetic acid",N-alkyl-O-phenylhydroxylamines,0.9512407248761001
N-cyclohexylcyclohexanaminium (2R)-2-bromobutanoate,Phenylpiperazinyl-cyclohexylureas,0.9510708441460131
"4-Nonylphenol, ethoxylated",2-polyprenyl-6-methoxyphenols,0.9510140981092212
2-Methyl-3-methoxy benzoyl chloride,Dimethoxybenzyl-N-methylpiperazines,0.9509012010559142
"4-Nonylphenol, branched, ethoxylated",2-polyprenyl-6-methoxyphenols,0.9508753347345134
sodium naphthalene sulfonic acid,2-naphthalene sulfonates,0.9507776799199494
Alkyltrimethyl ammonium chloride,Alkyldimethylbenzylammonium chlorides,0.950528256143315
"6-oxo- 6H‒Dibenz[c, e] [1, 2] oxaphosphorin 6-alkyl derivative","2-aminothieno[3,4-c]pyridazines",0.9505247268480264
"2,3-dihydroxypropyl undecylenat",4-hydroxy-3-polyprenylbenzoic acids,0.9505197747541978
Nonylphenol ether polyoxyethyleneglycol,Polyethylene glycols,0.9502521385117153
Reaction products of oxometallate and long-chain alkyl amines,Long-chain alkyl amine oxides,0.9501275615438626
Sodium 4-(4-substitutedanilino)-4-substituedbut-2-enoate,"2-amino-3-aroyl-4,5-alkylthiophenes",0.9501168601145601
"Amides of alkyldiamine, fatty acids and carboxylic acids",Peroxycarboxylic acids and derivatives,0.9501038122881487
Dialkyl C18 and C18-unsaturated phosphonates,"Alpha,beta-unsaturated carbonyl compounds",0.9500840737116363
"5,5-Dimethylimidazolidine-2,4-dione, reaction products with oxirane","5-Benzylpyrimidine-2,4-diamines",0.9500598688571554
Propyl-3-t-butylphenoxyacetate,2-polyprenyl-6-methoxyphenols,0.9498572569131959
"1,2-Diaminotoluene, propoxylated","1,2-allenyl phenyl sulfoxides",0.9497453353250215
2-(dithiocyanomethylthio)-benzothiazol,2-amino-3-benzoylthiophenes,0.9495808885313455
4-(2-Benzyloxyethoxy)-benzophenone,2-amino-3-benzoylthiophenes,0.9494985411586722
"Polyphosphoric acids, ammonium salts",Organic phosphoric acid diamides,0.9494666334982826
"4-nonylphenol, branched",4-alkoxyphenols,0.9493861051713536
Ethylbenzenesulphonic acid,p-Methylbenzenesulfonates,0.9493712606833156
Organostannic compounds,Organoarsenic compounds,0.9493476710869547
"trialkyl(C5-C15) acetic acid, 2,3- epoxypropyl ester",2-phenoxypropionic acid esters,0.949296543358103
Cumylphenol,Cinnamylphenols,0.9491039977107144
"trialkylboranes, liquid",Alkylboranes,0.9490765111546874
C12-14 Alkyl ethoxylate methyloxirane,Alpha-acyloxy carbonyl compounds,0.9489951270038787
"Perfluorohexane-1-sulphonic acid, its salts and related substances",Perfluorooctane sulfonic acid and derivatives,0.9488390415350146
3-hydroxypropyl decanoate,3(hydroxyphenyl)acetic acids,0.9487696743591084
Isostearyl (C16 and C18) saturated and unsaturated alkyloate,"Alpha,beta-unsaturated carbonyl compounds",0.9487492416800137
"Amines, C12-14-tert-alkyl, compds. with 2(3H)-benzothiazolethione",2-amino-3-benzoylthiophenes,0.9487230218432877
"1,3-Propanediol, 2-methyl-, reaction products with ethenyltrimethoxysilane","1,2-allenyl phenyl sulfoxides",0.9486749888324522
Reaction products of 3-Methylaniline with heptyl naphthalen-2-ol,2-amino-3-benzoylthiophenes,0.9486220710922145
"4-(2-aminoethyl)indole, fumarate",2-amino-3-benzoylthiophenes,0.9485974070090065
"3-ethoxy-4,6-difluoro-7-hexyloxy-dibenzothiophene","1,4-dihydroxy-2-halobenzenoids",0.9485371943865822
"alkyl(C8-C18)naphthalene sulfonates, sodium salts",2-naphthalene sulfonic acids and derivatives,0.948519703741487
"naphthalenesulfonic acids, reaction products with formaldehyde, sodium salts",2-naphthalene sulfonic acids and derivatives,0.9484518411787194
Alkane substituted alkyl chain,Long-chain alkyl amine oxides,0.9481971428429168
"1,3,4-Thiadiazolidine-2,5-dithione, reaction products with hydrogen peroxide and tert-dodecanethiol","1,2-dithiole-3-thiones",0.948171302059222
4-Oxo-butyramide,"1,4-oxathiin carboxamides",0.9479650634929113
Calcium salt of C11-C13 alkenyldicarboxylic acid ester,Dithiocarboxylic acid esters,0.9479493610149454
"2-methyl-2,3-epoxy-1,4-naphtalen-dione","1,4-dihydroxy-2-halobenzenoids",0.9479321866114931
"2-(4-Phenoxy-phenyl)-[1,3,6,2]dioxazaborocane","1,4-dihydroxy-2-halobenzenoids",0.9478569782038889
